CNR;ParentCNR;Cat;Count;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Use/yr.NA;Estado de disponibilidad.NA;Clases de gerninacion.NA;Cantida De Semillas.NA
10;Leguminous crops;Soya;2577;5;4.09;2.57;1.5;0;0;0;0
1001;100;Glycine max;2577;5;4.09;2.57;1.5;0;0;0;0
10011;1001;M20GC;1108;5;2.2;2.74;1.82;0;0;0;0
100111;10011;Ortodoxas;1108;5;2.2;2.74;1.82;0;0;0;0
1001111;100111;Bajo;55;5;2.69;2.49;1.13;0;0;0;0
1001112;100111;Medio;1051;5;2.18;2.75;1.86;0;0;0;0
1001113;100111;Alto;2;5;1;3;3;0;0;0;0
10013;1001;4GC;1469;5;5.51;2.44;1.26;0;0;0;0
100131;10013;Ortodoxas;1469;5;5.51;2.44;1.26;0;0;0;0
1001311;100131;Bajo;1224;5;5.7;2.55;1.17;0;0;0;0
1001312;100131;Medio;245;5;4.6;1.89;1.72;0;0;0;0
13;Cereals;Cebada;294;4.74;2.17;2.86;1.28;0;0;0;0
1301;130;Hordeum vulgare;294;4.74;2.17;2.86;1.28;0;0;0;0
13011;1301;M20GC;160;4.65;2.97;2.8;1.3;0;0;0;0
130111;13011;Ortodoxas;160;4.65;2.97;2.8;1.3;0;0;0;0
1301111;130111;Bajo;112;4.64;2.89;2.82;1;0;0;0;0
1301112;130111;Medio;48;4.67;3.15;2.75;2;0;0;0;0
13013;1301;4GC;134;4.85;1.21;2.94;1.25;0;0;0;0
130131;13013;Ortodoxas;134;4.85;1.21;2.94;1.25;0;0;0;0
1301311;130131;Bajo;108;4.81;1.26;2.95;1;0;0;0;0
1301312;130131;Medio;19;5;1;2.89;2.26;0;0;0;0
1301313;130131;Alto;7;5;1;2.86;2.29;0;0;0;0
11;Cereals;Arroz;744;5;4.76;2.35;1.88;0;0;0;0
1101;110;Oryza sativa;744;5;4.76;2.35;1.88;0;0;0;0
11011;1101;M20GC;145;5;4.41;2.77;1.97;0;0;0;0
110111;11011;Ortodoxas;145;5;4.41;2.77;1.97;0;0;0;0
1101111;110111;Bajo;27;5;5.15;2.78;1.74;0;0;0;0
1101112;110111;Medio;68;5;4.75;2.62;1.65;0;0;0;0
1101113;110111;Alto;50;5;3.56;2.96;2.54;0;0;0;0
11013;1101;4GC;599;5;4.85;2.26;1.86;0;0;0;0
110131;11013;Ortodoxas;599;5;4.85;2.26;1.86;0;0;0;0
1101311;110131;Bajo;283;5;5.34;2.23;1.46;0;0;0;0
1101312;110131;Medio;144;5;4.57;2.31;1.77;0;0;0;0
1101313;110131;Alto;172;5;4.27;2.25;2.58;0;0;0;0
18;Fruits and nuts;Passifloras;63;3;4.33;1.71;2.13;0;0;0;0
1801;180;Passiflora adenopoda;6;3;3.5;1.83;2.83;0;0;0;0
18013;1801;4GC;6;3;3.5;1.83;2.83;0;0;0;0
180131;18013;Ortodoxas;6;3;3.5;1.83;2.83;0;0;0;0
1801312;180131;Medio;1;3;7;1;2;0;0;0;0
1801313;180131;Alto;5;3;2.8;2;3;0;0;0;0
1802;180;Passiflora ambigua;1;3;1;2;1;0;0;0;0
18023;1802;4GC;1;3;1;2;1;0;0;0;0
180231;18023;Ortodoxas;1;3;1;2;1;0;0;0;0
1802311;180231;Bajo;1;3;1;2;1;0;0;0;0
1803;180;Passiflora caerulea;1;3;1;3;2;0;0;0;0
18033;1803;4GC;1;3;1;3;2;0;0;0;0
180331;18033;Ortodoxas;1;3;1;3;2;0;0;0;0
1803312;180331;Medio;1;3;1;3;2;0;0;0;0
1804;180;Passiflora capsularis;2;3;7;1;3;0;0;0;0
18043;1804;4GC;2;3;7;1;3;0;0;0;0
180431;18043;Ortodoxas;2;3;7;1;3;0;0;0;0
1804313;180431;Alto;2;3;7;1;3;0;0;0;0
1805;180;Passiflora cumbalenis;1;3;1;3;2;0;0;0;0
18053;1805;4GC;1;3;1;3;2;0;0;0;0
180531;18053;Ortodoxas;1;3;1;3;2;0;0;0;0
1805312;180531;Medio;1;3;1;3;2;0;0;0;0
1806;180;Passiflora edulis;8;3;2.5;2.5;2.25;0;0;0;0
18063;1806;4GC;8;3;2.5;2.5;2.25;0;0;0;0
180631;18063;Ortodoxas;8;3;2.5;2.5;2.25;0;0;0;0
1806311;180631;Bajo;3;3;3;2.33;1;0;0;0;0
1806313;180631;Alto;5;3;2.2;2.6;3;0;0;0;0
1807;180;Passilora edulis fo. Edulis;1;3;1;3;3;0;0;0;0
18073;1807;4GC;1;3;1;3;3;0;0;0;0
180731;18073;Ortodoxas;1;3;1;3;3;0;0;0;0
1807313;180731;Alto;1;3;1;3;3;0;0;0;0
1808;180;Passiflora ligularis;10;3;4.9;1;1;0;0;0;0
18083;1808;4GC;10;3;4.9;1;1;0;0;0;0
180831;18083;Ortodoxas;10;3;4.9;1;1;0;0;0;0
1808311;180831;Bajo;10;3;4.9;1;1;0;0;0;0
1809;180;Passiflora maliformis;2;3;5.5;1;1.5;0;0;0;0
18093;1809;4GC;2;3;5.5;1;1.5;0;0;0;0
180931;18093;Ortodoxas;2;3;5.5;1;1.5;0;0;0;0
1809311;180931;Bajo;1;3;4;1;1;0;0;0;0
1809312;180931;Medio;1;3;7;1;2;0;0;0;0
1810;181;Passiflora mixta;1;3;7;2;1;0;0;0;0
18103;1810;4GC;1;3;7;2;1;0;0;0;0
181031;18103;Ortodoxas;1;3;7;2;1;0;0;0;0
1810311;181031;Bajo;1;3;7;2;1;0;0;0;0
1811;181;Passiflora mollissima;4;3;6.25;1.25;1.5;0;0;0;0
18113;1811;4GC;4;3;6.25;1.25;1.5;0;0;0;0
181131;18113;Ortodoxas;4;3;6.25;1.25;1.5;0;0;0;0
1811311;181131;Bajo;3;3;6;1.33;1;0;0;0;0
1811313;181131;Alto;1;3;7;1;3;0;0;0;0
1812;181;Passiflora sanguinolenta;1;3;7;1;3;0;0;0;0
18123;1812;4GC;1;3;7;1;3;0;0;0;0
181231;18123;Ortodoxas;1;3;7;1;3;0;0;0;0
1812313;181231;Alto;1;3;7;1;3;0;0;0;0
1813;181;Passiflora sp;13;3;4.46;1.77;2.15;0;0;0;0
18133;1813;4GC;13;3;4.46;1.77;2.15;0;0;0;0
181331;18133;Ortodoxas;13;3;4.46;1.77;2.15;0;0;0;0
1813311;181331;Bajo;4;3;4.75;1;1;0;0;0;0
1813312;181331;Medio;3;3;5;2.33;2;0;0;0;0
1813313;181331;Alto;6;3;4;2;3;0;0;0;0
1814;181;Passiflora tarminiana;11;3;5.09;1.73;2.82;0;0;0;0
18143;1814;4GC;11;3;5.09;1.73;2.82;0;0;0;0
181431;18143;Ortodoxas;11;3;5.09;1.73;2.82;0;0;0;0
1814311;181431;Bajo;1;3;7;1;1;0;0;0;0
1814313;181431;Alto;10;3;4.9;1.8;3;0;0;0;0
1815;181;Passiflora tripartita;1;3;1;2;3;0;0;0;0
18153;1815;4GC;1;3;1;2;3;0;0;0;0
181531;18153;Ortodoxas;1;3;1;2;3;0;0;0;0
1815313;181531;Alto;1;3;1;2;3;0;0;0;0
16;Fruits and nuts;Mora;499;3;2;1.97;2.95;0;0;0;0
1601;160;Rubus adenotrichos;2;3;2;2;3;0;0;0;0
16012;1601;M10GC;2;3;2;2;3;0;0;0;0
160121;16012;Ortodoxas;2;3;2;2;3;0;0;0;0
1601213;160121;Alto;2;3;2;2;3;0;0;0;0
1602;160;Rubus glaucus;414;3;2;1.98;2.98;0;0;0;0
16022;1602;M10GC;414;3;2;1.98;2.98;0;0;0;0
160221;16022;Ortodoxas;414;3;2;1.98;2.98;0;0;0;0
1602212;160221;Medio;8;3;2;2.12;2;0;0;0;0
1602213;160221;Alto;406;3;2;1.98;3;0;0;0;0
1603;160;Rubus idaeus;1;3;2;3;1;0;0;0;0
16032;1603;M10GC;1;3;2;3;1;0;0;0;0
160321;16032;Ortodoxas;1;3;2;3;1;0;0;0;0
1603211;160321;Bajo;1;3;2;3;1;0;0;0;0
1604;160;Rubus niveus;2;3;2;2;3;0;0;0;0
16042;1604;M10GC;2;3;2;2;3;0;0;0;0
160421;16042;Ortodoxas;2;3;2;2;3;0;0;0;0
1604213;160421;Alto;2;3;2;2;3;0;0;0;0
1605;160;Rubus pallidus;10;3;2;2.2;3;0;0;0;0
16052;1605;M10GC;10;3;2;2.2;3;0;0;0;0
160521;16052;Ortodoxas;10;3;2;2.2;3;0;0;0;0
1605213;160521;Alto;10;3;2;2.2;3;0;0;0;0
1606;160;Rubus peruvianus;38;3;2;1.66;3;0;0;0;0
16062;1606;M10GC;38;3;2;1.66;3;0;0;0;0
160621;16062;Ortodoxas;38;3;2;1.66;3;0;0;0;0
1606213;160621;Alto;38;3;2;1.66;3;0;0;0;0
1607;160;Rubus robustus;4;3;2;2;3;0;0;0;0
16072;1607;M10GC;4;3;2;2;3;0;0;0;0
160721;16072;Ortodoxas;4;3;2;2;3;0;0;0;0
1607213;160721;Alto;4;3;2;2;3;0;0;0;0
1608;160;Rubus rosifolius;2;3;2;1.5;3;0;0;0;0
16082;1608;M10GC;2;3;2;1.5;3;0;0;0;0
160821;16082;Ortodoxas;2;3;2;1.5;3;0;0;0;0
1608213;160821;Alto;2;3;2;1.5;3;0;0;0;0
1609;160;Rubus sp;22;3;2;2.14;2.36;0;0;0;0
16092;1609;M10GC;22;3;2;2.14;2.36;0;0;0;0
160921;16092;Ortodoxas;22;3;2;2.14;2.36;0;0;0;0
1609211;160921;Bajo;6;3;2;2.17;1;0;0;0;0
1609212;160921;Medio;2;3;2;2;2;0;0;0;0
1609213;160921;Alto;14;3;2;2.14;3;0;0;0;0
1610;161;Rubus urticifolius;4;3;2;1.75;3;0;0;0;0
16102;1610;M10GC;4;3;2;1.75;3;0;0;0;0
161021;16102;Ortodoxas;4;3;2;1.75;3;0;0;0;0
1610213;161021;Alto;4;3;2;1.75;3;0;0;0;0
17;Root/tuber crops with high starch or inulin conten;Papa;2124;5;1.88;2.36;1.74;0;0;0;0
1701;170;Solanum  antipoviczii;1;5;1;3;2;0;0;0;0
17013;1701;4GC;1;5;1;3;2;0;0;0;0
170131;17013;Ortodoxas;1;5;1;3;2;0;0;0;0
1701312;170131;Medio;1;5;1;3;2;0;0;0;0
1702;170;Solanum  colombianum;1;5;4;1;1;0;0;0;0
17023;1702;4GC;1;5;4;1;1;0;0;0;0
170231;17023;Ortodoxas;1;5;4;1;1;0;0;0;0
1702311;170231;Bajo;1;5;4;1;1;0;0;0;0
1703;170;Solanum  curtilobum;1;5;4;1;1;0;0;0;0
17033;1703;4GC;1;5;4;1;1;0;0;0;0
170331;17033;Ortodoxas;1;5;4;1;1;0;0;0;0
1703311;170331;Bajo;1;5;4;1;1;0;0;0;0
1704;170;Solanum  malinchense;1;5;4;1;1;0;0;0;0
17043;1704;4GC;1;5;4;1;1;0;0;0;0
170431;17043;Ortodoxas;1;5;4;1;1;0;0;0;0
1704311;170431;Bajo;1;5;4;1;1;0;0;0;0
1705;170;Solanum chmielewskii;4;7;1;3;3;0;0;0;0
17051;1705;M20GC;2;7;1;3;3;0;0;0;0
170511;17051;Ortodoxas;2;7;1;3;3;0;0;0;0
1705113;170511;Alto;2;7;1;3;3;0;0;0;0
17053;1705;4GC;2;7;1;3;3;0;0;0;0
170531;17053;Ortodoxas;2;7;1;3;3;0;0;0;0
1705313;170531;Alto;2;7;1;3;3;0;0;0;0
1706;170;Solanum corneliomulleri;2;3;1;3;2.5;0;0;0;0
17061;1706;M20GC;1;3;1;3;2;0;0;0;0
170611;17061;Ortodoxas;1;3;1;3;2;0;0;0;0
1706112;170611;Medio;1;3;1;3;2;0;0;0;0
17063;1706;4GC;1;3;1;3;3;0;0;0;0
170631;17063;Ortodoxas;1;3;1;3;3;0;0;0;0
1706313;170631;Alto;1;3;1;3;3;0;0;0;0
1707;170;Solanum phureja subsp. phureja;59;5;3.88;1.71;1.42;0;0;0;0
17073;1707;4GC;59;5;3.88;1.71;1.42;0;0;0;0
170731;17073;Ortodoxas;59;5;3.88;1.71;1.42;0;0;0;0
1707311;170731;Bajo;42;5;4.52;1.83;1;0;0;0;0
1707312;170731;Medio;9;5;1.89;1.44;2;0;0;0;0
1707313;170731;Alto;8;5;2.75;1.38;3;0;0;0;0
1710;171;Solanum tuberosum subsp. tuberosum;2055;5;1.82;2.38;1.75;0;0;0;0
17101;1710;M20GC;377;5;1.69;2.78;2.05;0;0;0;0
171011;17101;Ortodoxas;377;5;1.69;2.78;2.05;0;0;0;0
1710111;171011;Bajo;44;5;1.23;2.89;1;0;0;0;0
1710112;171011;Medio;262;5;1.83;2.74;1.98;0;0;0;0
1710113;171011;Alto;71;5;1.49;2.85;2.97;0;0;0;0
17103;1710;4GC;1678;5;1.85;2.29;1.68;0;0;0;0
171031;17103;Ortodoxas;1678;5;1.85;2.29;1.68;0;0;0;0
1710311;171031;Bajo;898;5;2;2.22;1.26;0;0;0;0
1710312;171031;Medio;423;5;1.73;2.29;2.07;0;0;0;0
1710313;171031;Alto;357;5;1.61;2.48;2.27;0;0;0;0
14;Vegetables and melons;Lulo;353;2.56;4.5;2.07;1.48;0;0;0;0
1401;140;Solanum  capsicoides;3;1;1.67;3;3;0;0;0;0
14011;1401;M20GC;1;1;1;3;3;0;0;0;0
140111;14011;Ortodoxas;1;1;1;3;3;0;0;0;0
1401113;140111;Alto;1;1;1;3;3;0;0;0;0
14013;1401;4GC;2;1;2;3;3;0;0;0;0
140131;14013;Ortodoxas;2;1;2;3;3;0;0;0;0
1401313;140131;Alto;2;1;2;3;3;0;0;0;0
1402;140;Solanum  hirtum;4;3;6.75;2;1.5;0;0;0;0
14023;1402;4GC;4;3;6.75;2;1.5;0;0;0;0
140231;14023;Ortodoxas;4;3;6.75;2;1.5;0;0;0;0
1402311;140231;Bajo;3;3;8.67;1.67;1;0;0;0;0
1402313;140231;Alto;1;3;1;3;3;0;0;0;0
1403;140;Solanum  jamaicense;5;3;4.8;1.8;1;0;0;0;0
14033;1403;4GC;5;3;4.8;1.8;1;0;0;0;0
140331;14033;Ortodoxas;5;3;4.8;1.8;1;0;0;0;0
1403311;140331;Bajo;5;3;4.8;1.8;1;0;0;0;0
1404;140;Solanum  macracanthum;1;3;12;1;1;0;0;0;0
14043;1404;4GC;1;3;12;1;1;0;0;0;0
140431;14043;Ortodoxas;1;3;12;1;1;0;0;0;0
1404311;140431;Bajo;1;3;12;1;1;0;0;0;0
1405;140;Solanum  mammosum;6;2.67;5.5;2.17;1.83;0;0;0;0
14051;1405;M20GC;1;3;7;2;3;0;0;0;0
140511;14051;Ortodoxas;1;3;7;2;3;0;0;0;0
1405113;140511;Alto;1;3;7;2;3;0;0;0;0
14053;1405;4GC;5;2.6;5.2;2.2;1.6;0;0;0;0
140531;14053;Ortodoxas;5;2.6;5.2;2.2;1.6;0;0;0;0
1405311;140531;Bajo;3;2.33;4;2.67;1;0;0;0;0
1405312;140531;Medio;1;3;7;1;2;0;0;0;0
1405313;140531;Alto;1;3;7;2;3;0;0;0;0
1408;140;Solanum  pseudolulo;31;2.55;2.26;2.65;2.35;0;0;0;0
14081;1408;M20GC;5;2.2;2.4;2.8;3;0;0;0;0
140811;14081;Ortodoxas;5;2.2;2.4;2.8;3;0;0;0;0
1408113;140811;Alto;5;2.2;2.4;2.8;3;0;0;0;0
14083;1408;4GC;26;2.62;2.23;2.62;2.23;0;0;0;0
140831;14083;Ortodoxas;26;2.62;2.23;2.62;2.23;0;0;0;0
1408311;140831;Bajo;7;3;2.57;2.57;1.29;0;0;0;0
1408312;140831;Medio;6;3;1;2.67;2;0;0;0;0
1408313;140831;Alto;13;2.23;2.62;2.62;2.85;0;0;0;0
1409;140;Solanum  quitoense;245;2.53;4.68;2.02;1.36;0;0;0;0
14090;1409;Cava Desconocida;41;2.12;12;1.24;1;0;0;0;0
140901;14090;Ortodoxas;41;2.12;12;1.24;1;0;0;0;0
1409011;140901;Bajo;41;2.12;12;1.24;1;0;0;0;0
14091;1409;M20GC;8;2.25;3;2.62;2.5;0;0;0;0
140911;14091;Ortodoxas;8;2.25;3;2.62;2.5;0;0;0;0
1409113;140911;Alto;8;2.25;3;2.62;2.5;0;0;0;0
14093;1409;4GC;196;2.62;3.21;2.16;1.38;0;0;0;0
140931;14093;Ortodoxas;196;2.62;3.21;2.16;1.38;0;0;0;0
1409311;140931;Bajo;154;2.66;3.15;2.14;1.06;0;0;0;0
1409312;140931;Medio;13;2.38;4.69;1.92;2;0;0;0;0
1409313;140931;Alto;29;2.52;2.9;2.38;2.79;0;0;0;0
1411;141;Solanum  sessiliflorum;21;2.71;4.19;1.9;1;0;0;0;0
14110;1411;Cava Desconocida;21;2.71;4.19;1.9;1;0;0;0;0
141101;14110;Ortodoxas;21;2.71;4.19;1.9;1;0;0;0;0
1411011;141101;Bajo;21;2.71;4.19;1.9;1;0;0;0;0
1411011;141101;Bajo;21;2.71;4.19;1.9;1;0;0;0;0
1412;141;Solanum sp.;37;2.73;4.92;2;1.78;0;0;0;0
14120;1412;Cava Desconocida;10;2.6;12;1.4;1;0;0;0;0
141201;14120;Ortodoxas;10;2.6;12;1.4;1;0;0;0;0
1412011;141201;Bajo;10;2.6;12;1.4;1;0;0;0;0
14123;1412;4GC;27;2.78;2.3;2.22;2.07;0;0;0;0
141231;14123;Ortodoxas;27;2.78;2.3;2.22;2.07;0;0;0;0
1412311;141231;Bajo;11;3;3.91;1.55;1;0;0;0;0
1412312;141231;Medio;3;1;1;3;2;0;0;0;0
1412313;141231;Alto;13;3;1.23;2.62;3;0;0;0;0
21;Vegetables and melons;Tomate de mesa;339;4.04;1.55;2.79;2.22;0;0;0;0
2101;210;Solanum habrochaites;44;6.09;1;2.95;2.43;0;0;0;0
21011;2101;M20GC;22;6.09;1;2.95;2.55;0;0;0;0
210111;21011;Ortodoxas;22;6.09;1;2.95;2.55;0;0;0;0
2101112;210111;Medio;15;5.67;1;3;2.33;0;0;0;0
2101113;210111;Alto;7;7;1;2.86;3;0;0;0;0
21013;2101;4GC;22;6.09;1;2.95;2.32;0;0;0;0
210131;21013;Ortodoxas;22;6.09;1;2.95;2.32;0;0;0;0
2101312;210131;Medio;10;7;1;3;2;0;0;0;0
2101313;210131;Alto;12;5.33;1;2.92;2.58;0;0;0;0
2102;210;Solanum lycopersicum;80;3.4;2.88;2.22;1.46;0;0;0;0
21021;2102;M20GC;14;4.14;1.5;3;2.43;0;0;0;0
210211;21021;Ortodoxas;14;4.14;1.5;3;2.43;0;0;0;0
2102111;210211;Bajo;1;3;1;3;1;0;0;0;0
2102112;210211;Medio;10;4.2;1.7;3;2.4;0;0;0;0
2102113;210211;Alto;3;4.33;1;3;3;0;0;0;0
21023;2102;4GC;66;3.24;3.17;2.06;1.26;0;0;0;0
210231;21023;Ortodoxas;66;3.24;3.17;2.06;1.26;0;0;0;0
2102311;210231;Bajo;53;3.08;3.7;1.83;1.02;0;0;0;0
2102312;210231;Medio;5;3.8;1;3;2;0;0;0;0
2102313;210231;Alto;8;4;1;3;2.38;0;0;0;0
2103;210;Solanum neorickii;27;7;1.44;2.93;2.63;0;0;0;0
21031;2103;M20GC;13;7;1.46;2.92;2.62;0;0;0;0
210311;21031;Ortodoxas;13;7;1.46;2.92;2.62;0;0;0;0
2103112;210311;Medio;5;7;1;3;2;0;0;0;0
2103113;210311;Alto;8;7;1.75;2.88;3;0;0;0;0
21033;2103;4GC;14;7;1.43;2.93;2.64;0;0;0;0
210331;21033;Ortodoxas;14;7;1.43;2.93;2.64;0;0;0;0
2103312;210331;Medio;5;7;1;3;2;0;0;0;0
2103313;210331;Alto;9;7;1.67;2.89;3;0;0;0;0
2104;210;Solanum pennellii;1;3;1;3;3;0;0;0;0
21043;2104;4GC;1;3;1;3;3;0;0;0;0
210431;21043;Ortodoxas;1;3;1;3;3;0;0;0;0
2104313;210431;Alto;1;3;1;3;3;0;0;0;0
2105;210;Solanum peruvianum;1;3;1;3;3;0;0;0;0
21053;2105;4GC;1;3;1;3;3;0;0;0;0
210531;21053;Ortodoxas;1;3;1;3;3;0;0;0;0
2105313;210531;Alto;1;3;1;3;3;0;0;0;0
2106;210;Solanum pimpinellifolium;96;3.25;1.12;2.94;2.44;0;0;0;0
21061;2106;M20GC;46;3.26;1;3;2.96;0;0;0;0
210611;21061;Ortodoxas;46;3.26;1;3;2.96;0;0;0;0
2106112;210611;Medio;44;3.27;1;3;2.95;0;0;0;0
2106113;210611;Alto;2;3;1;3;3;0;0;0;0
21063;2106;4GC;50;3.24;1.24;2.88;1.96;0;0;0;0
210631;21063;Ortodoxas;50;3.24;1.24;2.88;1.96;0;0;0;0
2106311;210631;Bajo;4;3;4;1.5;1;0;0;0;0
2106312;210631;Medio;2;3;1;3;2;0;0;0;0
2106313;210631;Alto;44;3.27;1;3;2.05;0;0;0;0
2107;210;Solanum sp.;18;3.44;1;3;2.44;0;0;0;0
21071;2107;M20GC;8;3.5;1;3;2.62;0;0;0;0
210711;21071;Ortodoxas;8;3.5;1;3;2.62;0;0;0;0
2107112;210711;Medio;8;3.5;1;3;2.62;0;0;0;0
21073;2107;4GC;10;3.4;1;3;2.3;0;0;0;0
210731;21073;Ortodoxas;10;3.4;1;3;2.3;0;0;0;0
2107312;210731;Medio;2;3;1;3;2;0;0;0;0
2107313;210731;Alto;8;3.5;1;3;2.38;0;0;0;0
2108;210;Solanum subsect. lycopersicon hybr.;57;3.63;1.25;3;2.35;0;0;0;0
21081;2108;M20GC;29;3.55;1.48;3;2.69;0;0;0;0
210811;21081;Ortodoxas;29;3.55;1.48;3;2.69;0;0;0;0
2108112;210811;Medio;29;3.55;1.48;3;2.69;0;0;0;0
21083;2108;4GC;28;3.71;1;3;2;0;0;0;0
210831;21083;Ortodoxas;28;3.71;1;3;2;0;0;0;0
2108311;210831;Bajo;3;5.67;1;3;2;0;0;0;0
2108312;210831;Medio;2;3;1;3;2;0;0;0;0
2108313;210831;Alto;23;3.52;1;3;2;0;0;0;0
2109;210;Solanum lycopersicum var. cerasiforme;15;3.53;1;3;2.6;0;0;0;0
21091;2109;M20GC;5;3.8;1;3;3;0;0;0;0
210911;21091;Ortodoxas;5;3.8;1;3;3;0;0;0;0
2109112;210911;Medio;4;3;1;3;3;0;0;0;0
2109113;210911;Alto;1;7;1;3;3;0;0;0;0
21093;2109;4GC;10;3.4;1;3;2.4;0;0;0;0
210931;21093;Ortodoxas;10;3.4;1;3;2.4;0;0;0;0
2109312;210931;Medio;2;3;1;3;2;0;0;0;0
2109313;210931;Alto;8;3.5;1;3;2.5;0;0;0;0
12;Vegetables and melons;Berenjena;4;3;4;2.5;2.75;0;0;0;0
1201;120;Solanum melongena;2;3;1;3;2.5;0;0;0;0
12011;1201;M20GC;1;3;1;3;2;0;0;0;0
120111;12011;Ortodoxas;1;3;1;3;2;0;0;0;0
1201112;120111;Medio;1;3;1;3;2;0;0;0;0
12013;1201;4GC;1;3;1;3;3;0;0;0;0
120131;12013;Ortodoxas;1;3;1;3;3;0;0;0;0
1201313;120131;Alto;1;3;1;3;3;0;0;0;0
19;Cereals;Sorgo;923;1;3.47;2.8;1.59;0;0;0;0
1901;190;Sorghum bicolor;923;1;3.47;2.8;1.59;0;0;0;0
19011;1901;M20GC;743;1;4.07;2.84;1.68;0;0;0;0
190111;19011;Ortodoxas;743;1;4.07;2.84;1.68;0;0;0;0
1901111;190111;Bajo;246;1;3.95;2.83;1;0;0;0;0
1901112;190111;Medio;489;1;4.11;2.86;2;0;0;0;0
1901113;190111;Alto;8;1;5;2.38;3;0;0;0;0
19013;1901;4GC;180;1;1;2.62;1.22;0;0;0;0
190131;19013;Ortodoxas;180;1;1;2.62;1.22;0;0;0;0
1901311;190131;Bajo;145;1;1;2.68;1.11;0;0;0;0
1901312;190131;Medio;29;1;1;2.52;1.76;0;0;0;0
1901313;190131;Alto;6;1;1;1.83;1.17;0;0;0;0
15;Cereals;Maiz;519;1;7.71;2.23;1.32;0;0;0;0
1501;150;Zea mays;519;1;7.71;2.23;1.32;0;0;0;0
15011;1501;M20GC;197;1;2.93;2.66;1.66;0;0;0;0
150111;15011;Ortodoxas;197;1;2.93;2.66;1.66;0;0;0;0
1501111;150111;Bajo;67;1;3.6;2.54;1.04;0;0;0;0
1501112;150111;Medio;129;1;2.59;2.73;1.98;0;0;0;0
1501113;150111;Alto;1;1;2;3;3;0;0;0;0
15013;1501;4GC;322;1;10.63;1.96;1.11;0;0;0;0
150131;15013;Ortodoxas;322;1;10.63;1.96;1.11;0;0;0;0
1501311;150131;Bajo;287;1;11.04;1.93;1.06;0;0;0;0
1501312;150131;Medio;35;1;7.23;2.2;1.51;0;0;0;0
root;"";CGN collection;8439;3.39;3.68;2.38;1.89;0;0;0;0
Leguminous crops;root;Leguminous crops;2577;5;4.09;2.57;1.5;0;0;0;0
Cereals;root;Cereals;2480;2.94;4.53;2.56;1.52;0;0;0;0
Fruits and nuts;root;Fruits and nuts;562;3;3.16;1.84;2.54;0;0;0;0
Root/tuber crops with high starch or inulin conten;root;Root/tuber crops with high starch or inulin conten;2124;5;1.88;2.36;1.74;0;0;0;0
Vegetables and melons;root;Vegetables and melons;696;3.2;3.35;2.45;2.15;0;0;0;0
